listing_id,lat,lon,price,beds,price_bed,neighbourhood,property_type,room_type,accommodates
3616081,42.525619,-70.929103,$114.00,2,57,Jamaica Plain,Apartment,Entire home/apt,3
8908145,42.3096742,-71.1131974,$170.00,1,170,Jamaica Plain,House,Private room,2
554720,42.3189996,-71.1127938,$240.00,2,120,Jamaica Plain,Apartment,Entire home/apt,6
1551467,42.3120041,-71.104052,$150.00,2,75,Jamaica Plain,Apartment,Entire home/apt,4
7743569,42.2784305,-71.1599071,$69.00,1,69,Jamaica Plain,Apartment,Private room,2
732932,42.2955696,-71.1220297,$80.00,1,80,Jamaica Plain,Apartment,Private room,2
749247,42.3120041,-71.104052,$85.00,1,85,Jamaica Plain,Apartment,Private room,2
667325,42.3099285,-71.1135138,$75.00,2,37.5,Jamaica Plain,Apartment,Private room,4
9349614,42.305419,-71.1063402,$150.00,2,75,Jamaica Plain,Apartment,Entire home/apt,4
10627514,42.3144764,-71.1006797,$70.00,1,70,Jamaica Plain,House,Private room,2
1885825,42.2784305,-71.1599071,$80.00,2,40,Jamaica Plain,House,Private room,3
9906565,42.3118724,-71.1047488,$225.00,4,56.25,Jamaica Plain,Apartment,Entire home/apt,7
629814,42.3183657,-71.1028998,$225.00,2,112.5,Jamaica Plain,Apartment,Entire home/apt,4
1222327,42.3234452,-71.1081651,$178.00,2,89,Jamaica Plain,House,Entire home/apt,4
10299047,42.3135981,-71.1040241,$175.00,2,87.5,Jamaica Plain,Apartment,Entire home/apt,4
9463444,42.3097614,-71.1106476,$109.00,2,54.5,Jamaica Plain,Apartment,Entire home/apt,3
6465075,42.2980991,-71.1126716,$383.00,6,63.8333333333333,Jamaica Plain,Condominium,Entire home/apt,10
8932377,42.319843,-71.1142976,$90.00,1,90,Jamaica Plain,Condominium,Private room,2
9577988,42.3226789,-71.1131405,$99.00,3,33,Jamaica Plain,Apartment,Entire home/apt,6
9971054,42.3044645,-71.116469,$50.00,1,50,Jamaica Plain,Apartment,Private room,2
7348110,42.3267966,-71.0986349,$300.00,2,150,Jamaica Plain,Apartment,Entire home/apt,4
7790454,42.3099285,-71.1135138,$184.00,5,36.8,Jamaica Plain,House,Entire home/apt,6
3021446,42.3193007,-71.1075489,$80.00,1,80,Jamaica Plain,Apartment,Private room,2
7708436,42.3088143,-71.1066889,$85.00,1,85,Jamaica Plain,House,Private room,2
11514237,42.3127903,-71.1077297,$150.00,2,75,Jamaica Plain,Apartment,Entire home/apt,2
13363171,42.3155639,-71.1032737,$100.00,1,100,Jamaica Plain,Apartment,Entire home/apt,2
11946029,42.322393,-71.1036163,$100.00,1,100,Jamaica Plain,Apartment,Private room,2
6019555,42.2989452,-71.1116663,$84.00,2,42,Jamaica Plain,Townhouse,Private room,2
12052288,42.3153627,-71.101416,$130.00,2,65,Jamaica Plain,Apartment,Entire home/apt,4
9676551,42.3172384,-71.1062759,$76.00,1,76,Jamaica Plain,Apartment,Private room,2
12789527,42.3600825,-71.0588801,$100.00,1,100,Jamaica Plain,Apartment,Private room,2
12855005,42.3127903,-71.1077297,$70.00,1,70,Jamaica Plain,House,Private room,2
1631942,42.3108879,-71.1154511,$125.00,1,125,Jamaica Plain,Condominium,Entire home/apt,2
2884903,42.3048207,-71.1131741,$70.00,1,70,Jamaica Plain,Apartment,Private room,2
14868157,42.3167197,-71.1007364,$75.00,1,75,Jamaica Plain,Bed & Breakfast,Private room,1
13344433,42.306101,-71.1116089,$170.00,1,170,Jamaica Plain,House,Entire home/apt,3
40601,42.3143122,-71.1100048,$95.00,1,95,Jamaica Plain,House,Private room,2
12033661,42.3054243,-71.1140629,$70.00,2,35,Jamaica Plain,Bed & Breakfast,Private room,2
6298216,42.3169505,-71.1059087,$299.00,3,99.6666666666667,Jamaica Plain,Apartment,Entire home/apt,6
12868343,42.3023018,-71.1310352,$70.00,1,70,Jamaica Plain,House,Private room,1
14474750,42.3068503,-71.1192035,$155.00,3,51.6666666666667,Jamaica Plain,Entire Floor,Entire home/apt,6
6921672,42.3193007,-71.1075489,$250.00,2,125,Jamaica Plain,Apartment,Entire home/apt,4
2219399,42.3002408,-71.1154265,$115.00,1,115,Jamaica Plain,Apartment,Private room,2
336960,42.289849,-71.1141651,$70.00,2,35,Jamaica Plain,House,Private room,3
336946,42.289849,-71.1141651,$135.00,2,67.5,Jamaica Plain,House,Entire home/apt,3
6644330,42.3176253,-71.1064023,$120.00,1,120,Jamaica Plain,Condominium,Private room,2
6939162,42.311774,-71.111244,$130.00,1,130,Jamaica Plain,Loft,Entire home/apt,4
13640138,42.2784305,-71.1599071,$29.00,1,29,Jamaica Plain,Apartment,Private room,3
12593295,42.30409,-71.1106053,$68.00,1,68,Jamaica Plain,Apartment,Private room,2
10004575,42.3189996,-71.1127938,$300.00,5,60,Jamaica Plain,Apartment,Entire home/apt,6
12855343,42.3127903,-71.1077297,$50.00,1,50,Jamaica Plain,House,Private room,1
9791506,42.312976,-71.1067937,$119.00,1,119,Jamaica Plain,Condominium,Entire home/apt,2
5801643,42.2895983,-71.1154251,$46.00,1,46,Jamaica Plain,Apartment,Private room,2
12888054,42.314675,-71.1046991,$295.00,3,98.3333333333333,Jamaica Plain,Condominium,Entire home/apt,6
5676025,42.3234452,-71.1081651,$130.00,3,43.3333333333333,Jamaica Plain,Apartment,Entire home/apt,5
6104388,42.3143122,-71.1100048,$180.00,2,90,Jamaica Plain,Condominium,Entire home/apt,6
8283433,42.311169,-71.1187802,$300.00,4,75,Jamaica Plain,Apartment,Entire home/apt,7
14573919,42.3035611,-71.1069673,$200.00,3,66.6666666666667,Jamaica Plain,Apartment,Entire home/apt,5
7495866,42.3150825,-71.1118361,$136.00,1,136,Jamaica Plain,Apartment,Entire home/apt,2
13623390,42.305419,-71.1063402,$100.00,1,100,Jamaica Plain,Apartment,Entire home/apt,2
3629014,42.3176253,-71.1064023,$88.00,2,44,Jamaica Plain,House,Private room,5
10883063,42.3243037,-71.1067244,$95.00,2,47.5,Jamaica Plain,House,Private room,3
713627,42.3088143,-71.1066889,$135.00,1,135,Jamaica Plain,House,Entire home/apt,2
4105704,42.303834,-71.1165933,$135.00,1,135,Jamaica Plain,House,Entire home/apt,2
3957602,42.3118724,-71.1047488,$75.00,1,75,Jamaica Plain,Bed & Breakfast,Private room,2
11739985,42.3205726,-71.1071514,$189.00,4,47.25,Jamaica Plain,House,Entire home/apt,5
5874408,42.306101,-71.1116089,$75.00,1,75,Jamaica Plain,House,Private room,2
7693009,42.3105796,-71.1029265,$55.00,1,55,Jamaica Plain,Apartment,Private room,2
3775876,42.3041938,-71.1062922,$125.00,1,125,Jamaica Plain,Apartment,Private room,2
3693850,42.2989452,-71.1116663,$88.00,1,88,Jamaica Plain,Condominium,Private room,1
4736217,42.3144764,-71.1006797,$72.00,1,72,Jamaica Plain,Apartment,Private room,1
14428514,42.3072563,-71.1053003,$22.00,1,22,Jamaica Plain,Apartment,Shared room,1
3021862,42.2915324,-71.1130742,$90.00,1,90,Jamaica Plain,House,Private room,2
4348422,42.3113932,-71.109168,$150.00,1,150,Jamaica Plain,Apartment,Private room,2
973840,42.308581,-71.1014255,$82.00,1,82,Jamaica Plain,Apartment,Private room,2
9575439,42.3204817,-71.1053168,$84.00,1,84,Jamaica Plain,House,Private room,2
4430821,42.3042287,-71.1138303,$160.00,2,80,Jamaica Plain,Apartment,Entire home/apt,4
9591772,42.3204817,-71.1053168,$110.00,2,55,Jamaica Plain,Apartment,Entire home/apt,4
3079305,42.2955696,-71.1220297,$150.00,2,75,Jamaica Plain,Apartment,Entire home/apt,4
14474114,42.2329523,-71.1335994,$80.00,1,80,Jamaica Plain,Condominium,Private room,2
7789429,42.3183657,-71.1028998,$225.00,3,75,Jamaica Plain,Apartment,Entire home/apt,5
1203014,42.30409,-71.1106053,$65.00,1,65,Jamaica Plain,Apartment,Private room,2
957224,42.319843,-71.1142976,$275.00,4,68.75,Jamaica Plain,House,Entire home/apt,8
4119345,42.3113932,-71.109168,$300.00,3,100,Jamaica Plain,House,Entire home/apt,8
5495547,42.3023018,-71.1310352,$185.00,3,61.6666666666667,Jamaica Plain,House,Entire home/apt,5
12081834,42.3181655,-71.1072607,$175.00,1,175,Jamaica Plain,Apartment,Entire home/apt,4
14260905,42.3113932,-71.109168,$175.00,3,58.3333333333333,Jamaica Plain,Apartment,Entire home/apt,5
3988018,42.331929,-71.0820555,$75.00,2,37.5,Jamaica Plain,Apartment,Private room,2
728238,42.2955696,-71.1220297,$60.00,1,60,Jamaica Plain,Apartment,Private room,2
12997241,42.3127903,-71.1077297,$100.00,2,50,Jamaica Plain,Apartment,Entire home/apt,3
10074653,42.3205726,-71.1071514,$75.00,1,75,Jamaica Plain,Townhouse,Private room,1
4054079,42.314675,-71.1046991,$94.00,1,94,Jamaica Plain,Townhouse,Entire home/apt,2
12849003,42.3317013,-71.081693,$85.00,1,85,Jamaica Plain,Townhouse,Private room,2
8067585,42.3054243,-71.1140629,$83.00,1,83,Jamaica Plain,Apartment,Private room,2
7723492,42.2784305,-71.1599071,$75.00,1,75,Jamaica Plain,Apartment,Private room,2
1956275,42.2784305,-71.1599071,$168.00,3,56,Jamaica Plain,Apartment,Entire home/apt,6
1136972,42.331929,-71.0820555,$60.00,1,60,Jamaica Plain,Apartment,Private room,2
1071235,42.3166783,-71.110405,$135.00,1,135,Jamaica Plain,Apartment,Entire home/apt,2
4233242,42.3170274,-71.1048852,$119.00,1,119,Jamaica Plain,Bed & Breakfast,Private room,2
