listing_id,lat,lon,Isabella Stewart Gardner Museum,Fenway Park,MFA Boston,Harvard Square,Boston Harbor,Boston Common,Bunker Hill Monument,Faneuil Hall Marketplace,Arnold Arboretum,Skywalk Observatory,price,beds,price_bed,rating,reviews_month,reviews_count,property_type,room_type,accommodates,host_response_rate,host_listing_count,bathrooms,bedrooms,availability
13294824,42.3339572,-71.0347543,3.78,3.67,3.64,5.71,4.77,2.5,3.7,2.46,5.69,3.12,130,1,130,88,1.88,5,House,Private room,2,100,1,2,1,22
6296656,42.3356314,-71.0354156,3.69,3.59,3.56,5.56,4.62,2.35,3.55,2.32,5.6,3.03,250,2,125,98,3.72,57,Apartment,Entire home/apt,5,100,15,1,2,336
11008495,42.3395808,-71.0499324,3.03,2.8,2.77,4.79,4.19,1.9,3.12,1.89,5.17,2.24,147,2,73.5,92,3.26,20,Condominium,Entire home/apt,3,100,1,1,1,143
6911945,42.3360508,-71.0510325,3.1,2.87,2.84,4.86,4.53,1.93,3.46,2.22,5.02,2.31,170,1,170,100,0.57,8,Condominium,Entire home/apt,2,100,1,1,1,2
14186170,42.3323779,-71.0482378,3.03,3.21,2.97,5.2,4.88,2.27,3.8,2.57,4.94,2.66,180,1,180,96,4.29,5,Condominium,Entire home/apt,3,77,1,1,1,333
3585343,42.3396256,-71.05101,2.95,2.72,2.69,4.71,4.18,1.78,3.11,1.88,5.09,2.17,110,1,110,90,1.82,47,Apartment,Private room,2,100,1,1,1,314
8828147,42.3452801,-71.0524536,2.93,2.7,2.67,4.58,3.66,1.37,2.58,1.35,5.07,2.15,159,1,159,100,2.07,4,Apartment,Shared room,1,100,2,1,1,363
1340649,42.3252768,-71.0591463,2.62,2.82,2.56,4.81,5.14,2.5,4.07,2.84,4.26,2.67,100,1,100,90,0.34,8,Condominium,Private room,1,90,3,1,1,355
6629066,42.3356314,-71.0354156,3.69,3.59,3.56,5.56,4.62,2.35,3.55,2.32,5.6,3.03,500,4,125,98,0.85,10,Apartment,Entire home/apt,8,100,15,2,4,331
12515067,42.3391506,-71.0477216,3.17,2.93,2.9,4.92,4.28,1.99,3.2,1.97,5.3,2.38,190,1,190,90,1.89,6,House,Entire home/apt,2,100,1,1,1,0
11757376,42.3373555,-71.0333902,3.85,3.75,3.72,5.55,4.61,2.34,3.54,2.31,5.76,3.26,99,1,99,100,1.68,8,House,Private room,2,100,8,1,1,299
4863101,42.3364553,-71.0349193,3.75,3.64,3.61,5.53,4.59,2.32,3.52,2.28,5.66,3.24,130,1,130,93,4.93,95,House,Private room,2,100,2,1.5,1,314
9237653,42.3329386,-71.0490284,2.95,3.13,2.89,5.12,4.82,2.19,3.75,2.52,4.86,2.58,110,1,110,96,3.3,32,Condominium,Private room,2,100,1,1,1,262
4863108,42.3364553,-71.0349193,3.75,3.64,3.61,5.53,4.59,2.32,3.52,2.28,5.66,3.24,125,1,125,92,4.39,88,House,Private room,2,100,2,2.5,1,305
4928894,42.3356314,-71.0354156,3.69,3.59,3.56,5.56,4.62,2.35,3.55,2.32,5.6,3.03,160,1,160,96,0.55,10,Apartment,Entire home/apt,2,100,1,1,1,73
10103725,42.3321679,-71.0425934,3.32,3.38,3.27,5.37,4.94,2.44,3.87,2.64,5.23,2.83,250,2,125,93,1.27,6,Condominium,Entire home/apt,4,100,2,2,2,7
6565713,42.3365174,-71.0344996,3.77,3.66,3.63,5.55,4.61,2.34,3.54,2.3,5.68,3.26,250,3,83.33,95,3.89,56,Apartment,Entire home/apt,5,100,1,1.5,2,302
14151531,42.3343879,-71.0539935,2.92,2.88,2.87,4.87,4.57,1.94,3.5,2.27,4.83,2.33,126,1,126,97,6.36,7,House,Private room,2,100,1,1,1,64
4287348,42.3323779,-71.0482378,3.03,3.21,2.97,5.2,4.88,2.27,3.8,2.57,4.94,2.66,105,1,105,93,2.5,56,Apartment,Private room,1,100,2,1,1,61
994138,42.3372683,-71.0387117,3.58,3.47,3.44,5.61,4.67,2.4,3.6,2.37,5.49,2.92,150,2,75,98,2.49,96,Apartment,Private room,3,100,1,1,1,293
4287366,42.3323779,-71.0482378,3.03,3.21,2.97,5.2,4.88,2.27,3.8,2.57,4.94,2.66,200,2,100,77,0.31,7,Apartment,Entire home/apt,3,100,2,1,2,0
7713728,42.3331752,-71.0319124,3.86,3.88,3.85,5.91,4.97,2.7,3.9,2.66,5.77,3.32,275,3,91.67,97,7.42,96,Apartment,Entire home/apt,7,93,1,1,3,272
5026613,42.3393572,-71.0488053,3.11,2.88,2.85,4.87,4.25,1.96,3.18,1.95,5.25,2.32,105,1,105,96,3.15,58,House,Private room,2,100,1,1,1,0
5927267,42.3303297,-71.0576502,2.46,2.67,2.41,4.65,4.81,2.16,3.74,2.5,4.37,2.55,75,1,75,91,2.38,40,House,Private room,2,92,4,1,1,343
7746589,42.3403397,-71.0532183,2.8,2.56,2.53,4.55,4.1,1.62,3.03,1.8,4.94,2.01,143,1,143,91,1.33,16,Apartment,Entire home/apt,4,98,22,1,1,332
8596320,42.3395808,-71.0499324,3.03,2.8,2.77,4.79,4.19,1.9,3.12,1.89,5.17,2.24,130,1,130,100,0.78,8,Townhouse,Private room,2,80,1,1.5,1,200
13855525,42.334826,-71.0316468,3.91,3.8,3.77,5.81,4.87,2.6,3.8,2.57,5.81,3.24,100,1,100,80,2.83,5,Apartment,Entire home/apt,4,83,1,1,1,30
13113079,42.3331368,-71.0343346,3.74,3.75,3.72,5.78,4.84,2.58,3.77,2.54,5.65,3.2,120,1,120,80,1.08,4,Condominium,Private room,2,70,2,2,1,68
11020786,42.3339807,-71.033299,3.86,3.75,3.72,5.78,4.84,2.57,3.77,2.54,5.77,3.19,199,7,28.43,94,4.42,28,House,Entire home/apt,10,100,4,2,3,0
3792147,42.3317589,-71.0463188,3.11,3.29,3.05,5.28,4.95,2.35,3.88,2.65,5.02,2.74,89,1,89,91,2,48,Condominium,Shared room,1,100,1,1,1,357
7745117,42.3346666,-71.04153,3.38,3.27,3.24,5.26,4.76,2.33,3.69,2.46,5.29,2.72,250,2,125,98,3.75,11,Condominium,Entire home/apt,4,100,1,2,2,2
4090224,42.3352905,-71.05155,3.07,2.94,2.91,4.93,4.6,2,3.53,2.3,4.98,2.39,225,3,75,97,7.53,176,House,Entire home/apt,10,100,2,1.5,3,245
11757166,42.3373555,-71.0333902,3.85,3.75,3.72,5.55,4.61,2.34,3.54,2.31,5.76,3.26,69,1,69,97,5.71,31,House,Private room,2,100,8,1.5,1,295
6317446,42.3356314,-71.0354156,3.69,3.59,3.56,5.56,4.62,2.35,3.55,2.32,5.6,3.03,245,2,122.5,97,3.07,47,Apartment,Entire home/apt,4,100,15,1,2,331
11740527,42.3299359,-71.0536894,2.69,2.89,2.63,4.88,4.88,2.23,3.8,2.57,4.6,2.62,128,1,128,97,2.44,14,Condominium,Private room,2,100,6,1,1,64
8052617,42.3391506,-71.0477216,3.17,2.93,2.9,4.92,4.28,1.99,3.2,1.97,5.3,2.38,175,2,87.5,92,5.05,62,Condominium,Entire home/apt,6,99,30,2,2,325
6317722,42.3356314,-71.0354156,3.69,3.59,3.56,5.56,4.62,2.35,3.55,2.32,5.6,3.03,185,2,92.5,97,3.03,46,Apartment,Entire home/apt,4,100,15,1,2,331
2843596,42.3347584,-71.0358678,3.69,3.58,3.55,5.64,4.7,2.44,3.63,2.4,5.6,3.03,103,1,103,95,2.8,79,Apartment,Private room,1,100,1,1.5,1,345
10494550,42.3373555,-71.0333902,3.85,3.75,3.72,5.55,4.61,2.34,3.54,2.31,5.76,3.26,69,1,69,96,7.7,47,House,Private room,2,100,8,1,1,254
